label,c0,c1,c2,c3,c4,c5
153,鞳,輈,輪,轉,鞲,輅
154,抅,玽,洵,洵,珣,徇
155,觶,饆,饆,鱓,驛,觶
156,稼,糘,稼,粽,粽,錝
157,楳,𣜿,湶,樺,楾,槹
158,錫,碣,錫,碣,錫,餲
159,廳,翥,羽,嵡,翥,廳
160,踧,鍬,餱,鍬,鰍,貅
161,酸,鮻,駸,驗,醋,醋
162,淖,俥,悼,珒,凍,淖
163,嬢,嶬,鱶,驩,纚,釃
164,㬜,胃,胥,清,胄,胄
165,逸,迤,迱,迆,迤,迱
166,積,櫝,蹟,繽,纊,續
167,勻,匀,匆,匀,勿,匂
168,躊,幬,嶹,躊,璹,躊
169,盌,盥,盥,召,召,𥁊
170,腕,諚,碇,訖,陡,諚
171,歯,齒,蔤,蔤,歯,歯
172,鋆,疵,癮,儃,遭,襢
173,畒,臥,鳦,鴕,氈,批
174,柮,咄,柮,継,継,拙
175,覿,覿,覬,覯,覩,覯
176,鬆,鬆,嶄,質,質,赫
177,哲,哲,晳,哲,皙,岩
178,幣,漐,檗,檗,某,某
179,皦,瞰,㬚,瞰,噉,皦
180,抖,材,村,枓,抖,材
181,綋,披,椣,帔,破,妓
182,碔,碔,㞍,夙,凪,𠘨
183,鞞,軟,韓,靺,靺,榦
184,將,胗,診,訡,胦,將
185,菁,齋,膂,甯,㑪,審
186,蝿,娚,貍,蛎,蛹,誦
187,桾,楣,楣,裾,琱,棆
188,這,違,𨗉,邉,遑,遧
189,じ,ね,私,じ,衫,杉
190,決,快,決,袂,快,抉
191,漓,滝,涬,涬,湋,滓
192,懲,懋,崑,迯,仡,㐬
193,舐,処,処,舐,蚳,飢
194,秩,怢,帙,昳,跌,跌
195,梨,棨,檠,漐,帑,梨
196,蒦,蒦,蕤,蒦,蓑,薈
197,肢,胘,胠,弦,耽,肱
198,総,紞,柆,粒,棯,稔
199,囷,囨,菡,困,固,困
200,颪,嵐,凰,颪,鳳,風
201,外,豸,几,丑,凡,介
202,折,挵,訴,釿,蚸,釿
203,携,籠,籠,瀏,遄,遄
204,釥,玅,鉡,蜉,蚌,觘
205,楆,襪,楩,樮,樮,榴
206,瘖,藙,褰,僖,僖,簑
207,恰,拾,拾,恰,抬,炤
208,據,攜,璩,穢,摠,鑣
209,埿,塰,埿,豊,足,呈
210,尺,氏,沄,元,伝,斤
211,拓,炻,炻,柘,杤,朷
212,捁,梏,捁,梏,楢,桔
213,乍,不,甲,申,宙,市
214,淫,涇,垤,婬,洤,涅
215,噴,噴,嘈,隤,瞶,険
216,厨,囹,函,囚,因,囨
217,橢,剏,橢,㡡,剏,仰
218,蜎,蝠,覟,親,親,視
219,師,鄺,莿,鄘,鄂,郿
220,雯,晏,雯,夋,袰,曼
221,忽,忩,恕,怒,恕,怒
222,嫉,碗,碗,踠,捥,捥
223,婺,哭,婺,嫠,娶,癸
224,梅,梅,悔,海,侮,悔
225,濞,涁,汧,爭,濞,岺
226,冭,欠,仗,夂,狄,ス
227,蛋,蛩,智,萑,蛋,蜚
228,挼,桵,挼,桵,桜,珱
229,蜷,踖,踖,踡,蜷,蜷
230,鯽,寵,鯽,漪,𤺋,漪
231,涕,稊,娣,娣,綈,綈
232,慕,蘘,薯,蓽,蓽,葛
233,輗,輗,𩊠,祧,背,輗
234,渚,渚,偖,冷,泠,伶
235,撾,撾,鯣,璡,璡,鱺
236,泯,疷,痠,疲,洩,疲
237,棚,嫺,獼,硼,硼,棚
238,促,挽,梚,俛,挽,程
239,濤,樗,檮,鑄,擣,檮
240,瞽,訾,蓖,鹽,舊,薹
241,貧,貰,資,責,賚,買
242,頬,頻,頽,頗,頞,頳
243,倏,倏,倐,條,修,絛
244,騨,醍,鄽,駻,駼,騨
245,弃,髙,高,弈,璐,廂
246,娗,挺,挻,梃,梴,涎
247,藷,莔,莔,苕,萏,蓿
248,亟,里,丞,亟,坙,邑
249,槪,橛,槪,橛,櫃,慨
250,紂,料,紂,料,糾,蚪
251,篋,譩,鮠,詭,鮠,篋
252,缾,耕,舼,醂,駢,畊
253,つ,㓁,ㇽ,尸,ゐ,あ
254,妣,妣,泚,砒,砒,砒
255,胦,䀹,陜,陝,陜,陝
256,挙,旱,牟,季,秊,睪
257,梖,級,錑,梖,級,根
258,鼻,眞,貪,鱟,質,鱟
259,鸜,鸙,鸚,鸜,鸜,鸇
260,莝,互,荳,荳,至,旺
261,捄,妺,姉,㛏,妺,㛏
262,瘕,痼,瘢,瘢,癤,権
263,桐,恫,烔,桐,烱,烔
264,同,岡,岡,雨,囘,雨
265,蒂,皁,再,罕,孳,孳
266,糫,擐,糫,櫺,損,揖
267,纈,懶,獺,獺,𣠽,櫬
268,麈,廛,廛,窿,霳,雁
269,筭,菲,筭,弈,奔,弊
270,娉,竧,蠐,矪,矪,媠
271,統,綋,絖,鏟,綋,続
272,徑,桎,桴,稃,枰,佺
273,網,鰕,緞,鍛,鍜,緞
274,嗒,唔,喀,哱,陲,嗟
275,鯑,鯑,鰺,巋,鯵,驕
276,鐏,鐏,竴,罇,竴,蹲
277,吊,衆,杲,架,屮,弔
278,樞,慴,摺,侶,慍,摑
279,懊,礇,懊,模,瘓,濵
280,挃,伾,仔,杔,抒,杼
281,啡,吋,吋,腓,誹,聨
282,槶,椢,侶,悩,侶,椚
283,裸,裸,杵,禄,緑,橡
284,猟,角,魚,負,爺,猟
285,泂,洄,洞,淵,泗,洄
286,韭,册,器,器,器,册
287,槖,䯨,爽,梥,寨,紊
288,巩,巩,仭,扨,帆,𣏒
289,棠,祟,臬,枲,崇,豢
290,𨂊,跼,嵶,躅,躅,嵶
291,ゕ,冖,ぉ,冖,ぉ,ヶ
292,髜,醱,鯺,赭,赭,騁
293,匜,匝,匣,匣,医,匡
294,嶲,崗,膺,鬳,鬳,崗
295,廊,廊,廊,儻,傔,慊
296,艢,鱔,艪,鱔,㡡,鱝
297,晴,晴,喟,嘈,暖,嘻
298,㹦,省,㹦,狢,狢,雀
299,縞,縞,搞,槁,蠔,蠔
300,祐,祊,祐,畩,畩,祛
301,瀨,瀬,𣷓,潮,湘,洲
302,灘,徵,徵,徴,徵,徴
303,キ,才,犭,丿,ネ,イ
304,嚠,﨩,崦,嶋,鴫,嶠
305,似,放,双,赦,效,典
306,絵,給,蛤,桧,衵,桕
307,鈗,鉷,紋,釚,釟,鉷
308,觧,鮓,畔,琲,琲,称
309,瀆,漬,債,憒,債,漬
310,鰖,綰,舘,蜟,銷,錥
311,盗,盛,盦,盤,盤,盟
312,怔,杶,杣,杝,扡,衲
313,縢,榺,滕,榺,𨺉,弾
314,楬,橘,愒,橘,愒,淂
315,詁,詁,站,註,註,砧
316,鸊,鷚,鷸,鶲,鷸,鷸
317,莫,茇,莫,芳,若,茨
318,勅,獣,勤,勁,動,勤
319,掖,埌,琅,俍,汨,浪
320,裨,﨨,錍,碑,蜱,錍
321,勞,勞,契,劈,莠,劈
322,傜,徭,徭,疰,拌,洤
323,磠,漥,逌,逌,玿,墻
324,憭,硺,琢,𣽾,硺,塚
325,織,縅,鹹,緘,縬,鹹
326,探,粿,綶,綶,綶,裸
327,菴,萓,萢,菀,菅,菴
328,終,柊,終,鋩,妒,姥
329,嚠,嘲,喇,嘲,啣,嘲
330,凞,烝,𡱖,㷀,兪,兪
331,纘,縝,纉,鑽,縝,鎭
332,虵,絶,釶,訛,釶,釶
333,欵,欲,歆,歖,欸,歖
334,財,討,豺,甤,豺,肘
335,醞,駉,醒,唖,啞,駉
336,輞,蜩,綢,絅,鯛,絅
337,免,免,恁,兔,兌,兊
338,擠,鋳,裑,裑,祷,𢭏
339,釁,釁,薫,薫,薰,黧
340,綻,秒,紗,抄,杪,捗
341,猱,埃,娭,唉,険,猱
342,竏,竏,妊,妊,紝,柾
343,讀,讝,臑,醤,醤,贖
344,繞,蟯,磽,嶢,嶢,嬈
345,鑾,霆,嚚,豐,鑒,璗
346,閎,鬥,閩,閊,閙,閩
347,臤,殺,殷,殻,殾,毀
348,鍇,棤,惜,蜡,錯,錯
349,謟,凾,固,固,画,訶
350,真,宴,真,戛,宴,㚖
351,艜,緤,鍱,謀,媟,蝶
352,倅,悴,焠,焠,埣,忰
353,婾,轘,楡,檢,鞴,轎
354,氣,氤,氳,氣,箴,筬
355,佻,蜙,垉,祢,佻,佻
356,鹼,鹸,鯸,鯸,鱥,歳
357,炆,蚊,戉,戉,戓,炆
358,滞,潛,潜,濳,潛,潜
359,峋,昀,吻,呴,昀,昫
360,街,衘,衛,銜,街,裄
361,畑,㷔,烟,烟,熖,矧
362,歳,晸,晟,嶔,嵌,嵌
363,吸,叭,呎,吸,听,叭
364,駲,馴,剛,酬,駲,艸
365,艅,鯷,鯒,鯒,艠,鮸
366,鴾,鴾,鶫,鵐,鶏,鶙
367,疂,盡,晝,臺,亹,豎
368,恋,恷,惣,忞,悠,忞
369,謁,竭,是,禺,扃,謁
370,欗,欄,瀾,爛,襴,瀾
371,璅,撲,業,樸,僕,業
372,曄,嘨,嘯,嘯,嗅,嗉
373,荒,蓜,蕋,遐,寇,冦
374,侖,溘,湓,溘,溢,谽
375,詳,牂,牂,脖,貯,許
376,胝,艇,蜓,艇,蜓,𧦅
377,鱈,鐶,援,援,緩,跫
